url,type,slug,title,meta_description,canonical,status,og_image
https://greenturtlekava.co/contact-form/,page,contact-form,CONTACT - GREEN TURTLE KAVA BAR,,https://greenturtlekava.co/contact-form/,200,
https://greenturtlekava.co/kava-shop/,page,kava-shop,Kava Shop - GREEN TURTLE KAVA BAR,,https://greenturtlekava.co/kava-shop/,200,
https://greenturtlekava.co/kava-bar-at-ormond-beach/,page,kava-bar-at-ormond-beach,Kava Bar at Ormond Beach - GREEN TURTLE KAVA BAR,,https://greenturtlekava.co/kava-bar-at-ormond-beach/,200,https://greenturtlekava.co/wp-content/uploads/2021/07/Depositphotos_43499039_l-2015.jpg
https://greenturtlekava.co/my-account/,page,my-account,My account - GREEN TURTLE KAVA BAR,,,200,
https://greenturtlekava.co/checkout/,page,checkout,Cart - GREEN TURTLE KAVA BAR,,,200,
https://greenturtlekava.co/cart/,page,cart,Cart - GREEN TURTLE KAVA BAR,,,200,
https://greenturtlekava.co/shop/,page,shop,Page not found - GREEN TURTLE KAVA BAR,Products Archive - GREEN TURTLE KAVA BAR,,200,
https://greenturtlekava.co/locations/,page,locations,Locations - GREEN TURTLE KAVA BAR,,https://greenturtlekava.co/locations/,200,
https://greenturtlekava.co/kava-bar-at-st-augustine/,page,kava-bar-at-st-augustine,Kava Bar at St Augustine | Where you'll find your good vibe tribe...,"Kava Bar at St Augustine | Where you'll find your good vibe tribe... Serving the finest kava, kratom & coffee products sourced from around the world.",https://greenturtlekava.co/kava-bar-at-st-augustine/,200,https://greenturtlekava.co/wp-content/uploads/2021/07/sea-turtle-547163_1280.jpg
https://greenturtlekava.co/kava-bar-at-daytona-beach/,page,kava-bar-at-daytona-beach,Kava Bar at Daytona Beach | Where you'll find your good vibe tribe...,"Kava Bar at Daytona Beach | Where you'll find your good vibe tribe... Serving the finest kava, kratom & coffee products sourced from around the world.",https://greenturtlekava.co/kava-bar-at-daytona-beach/,200,https://greenturtlekava.co/wp-content/uploads/2021/07/Depositphotos_27155705_l-2015.jpg
https://greenturtlekava.co/turtle-tribe/,page,turtle-tribe,Kava Tea Near Me | Meet Great People - Enjoy a Some Kava Tea Today!,"Looking for kava tea near me? Visit your turtle tribe with great people and the best kava tea, period | Come reset your day!",https://greenturtlekava.co/turtle-tribe/,200,https://greenturtlekava.co/wp-content/uploads/2021/05/turtle.png
https://greenturtlekava.co/blog/,page,blog,BLOG - GREEN TURTLE KAVA BAR,,https://greenturtlekava.co/blog/,200,
https://greenturtlekava.co/privacy-policy/,page,privacy-policy,PRIVACY POLICY - GREEN TURTLE KAVA BAR,,https://greenturtlekava.co/privacy-policy/,200,
https://greenturtlekava.co/menu/,page,menu,Kava Bar Menu | Green Turtle Kava Bar St Augustine FL,Kava Bar menu at Green Turtle Kava Bar St Augustine FL | Highest quality kava and tea sourced and served to order | Enjoy some PREMIUM kava and herbal tea today!,https://greenturtlekava.co/menu/,200,
https://greenturtlekava.co/what-is-kava/,page,what-is-kava,What is kava? Learn what kava is and why it's trending in the US,What is kava? Learn what kava-kava is all about and why this ancient elixir is taking the US by storm. Your tribe is waiting - see you soon!,https://greenturtlekava.co/what-is-kava/,200,https://greenturtlekava.co/wp-content/uploads/2021/05/l1.png
https://greenturtlekava.co/,page,kava-bar-near-me-st-augustine,Green Turtle Kava Bar | St Augustines Kava & Tea Bar Near Me,Kava and Tea Bar near me? Welcome to Green Turtle Kava Bar at St Augustine - your local spot to relax and reset. Come bula and have some shells for shells!,https://greenturtlekava.co/,200,
https://greenturtlekava.co/events/,page,events,Kava near me and more! Local Kava Bar events and specials,Kava near me? Visit Green Turtle Kava today! Find your local Turtle Tribe to relax and reset. Can't wait to meet you there!,https://greenturtlekava.co/events/,200,
https://greenturtlekava.co/contact-us/,page,contact-us,Kava Bar Florida locations | Learn. Relax. Reset. Contact Us Today,"Kava Bar Florida locations and growing! Chill and get connected with excellent people. Stop in for kava, tea, and more. Kava bar specials and upcoming events.",https://greenturtlekava.co/contact-us/,200,
https://greenturtlekava.co/about-us/,page,about-us,Kava Bar St Augustine | Green Turtle Kava Bar - Who We Are...,Kava Bar St Augustine FL | Premium sourced kava and tea | Eco conscious & turtle friendly | Come find your turtle tribe today at Green Turtle Kava Bar,https://greenturtlekava.co/about-us/,200,https://greenturtlekava.co/wp-content/uploads/2021/05/t-2.png
https://greenturtlekava.co/jobs/,page,jobs,Kava lounge near me and more | Kava lounge jobs and opportunities,Kava lounge near me jobs? Apply for an awesome job at your local kava lounge. Submit the form and a turtle tribe member will respond on upcoming availability!,https://greenturtlekava.co/jobs/,200,https://greenturtlekava.co/wp-content/uploads/2022/03/Pink-Handdrawn-Heart-Polaroid-Photo-Collage_website_jobs-.jpg
https://greenturtlekava.co/kava-be-used-in-skincare-to-benefit-your-skin/,post,kava-be-used-in-skincare-to-benefit-your-skin,How Can Kava Be Used in Skincare to Benefit Your Skin?,"Kava offers skin benefits like reducing inflammation, calming irritation, and fighting free radicals for a smoother, healthier-looking complexion.",https://greenturtlekava.co/kava-be-used-in-skincare-to-benefit-your-skin/,200,https://greenturtlekava.co/wp-content/uploads/2025/05/How-Can-Kava-Be-Used-in-Skincare-to-Benefit-Your-Skin.jpg
https://greenturtlekava.co/the-best-bars-pubs-in-st-augustine-florida/,post,the-best-bars-pubs-in-st-augustine-florida,"The BEST Bars & Pubs in St. Augustine, Florida","Looking for a great night out in St. Augustine? Explore the best bars and pubs for craft drinks, local vibes, and unforgettable memories with friends.",https://greenturtlekava.co/the-best-bars-pubs-in-st-augustine-florida/,200,https://greenturtlekava.co/wp-content/uploads/2025/04/The-BEST-Bars-Pubs-in-St.-Augustine-Florida-.jpg
https://greenturtlekava.co/kava-vs-kratom-how-different-are-they/,post,kava-vs-kratom-how-different-are-they,Kava vs Kratom: How Different Are They? | Green Turtle Kava,"Kava and kratom are often compared, but they have different effects, uses, and risks. Learn how they differ to make an informed wellness choice.",https://greenturtlekava.co/kava-vs-kratom-how-different-are-they/,200,https://greenturtlekava.co/wp-content/uploads/2025/04/Kava-vs-Kratom-How-Different-Are-They.jpg
https://greenturtlekava.co/planning-visit-to-st-augustine/,post,planning-visit-to-st-augustine,Planning a Visit to St. Augustine? Know About Oldest City,"Planning a visit to the oldest city in U.S.? Know the history, attractions, and charm of St. Augustine for an unforgettable experience!",https://greenturtlekava.co/planning-visit-to-st-augustine/,200,https://greenturtlekava.co/wp-content/uploads/2025/03/Planning-a-Visit-to-St.-Augustine-Know-All-About-the-Oldest-City-in-the-U.S-1024x576.jpg
https://greenturtlekava.co/is-saint-augustine-worth-visiting/,post,is-saint-augustine-worth-visiting,Is Saint Augustine Worth Visiting? | Green Turtle Kava Bar,"Saint Augustine is a must-visit for history, beaches, and charm. Explore historic sites, scenic views, and great food in the nation's oldest city!",https://greenturtlekava.co/is-saint-augustine-worth-visiting/,200,https://greenturtlekava.co/wp-content/uploads/2025/03/Is-Saint-Augustine-Worth-Visiting-1024x576.jpg
